ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
CME,CME,USA,--,--,298.86,USD,329.16,9.2,108294.7,2348.0,-33.55,-32.38,Bearish,Strong BUY,,6520.6,1.03,2026-05-17T12:03:56.556492
CNH,CNH,USA,--,--,10.43,USD,14.27,26.9,12932.7,16300.5,-42.18,-43.88,OVERSOLD,Strong BUY,,18095.0,1.9,2026-05-17T12:03:56.957102
NOMD,NOMD,USA,--,--,9.8,USD,18.33,46.5,1370.0,1682.7,-71.47,-78.51,OVERSOLD,Strong BUY,,3032.5,0.66,2026-05-17T12:03:57.119298
EVGO,EVGO,USA,--,--,1.9,USD,5.18,63.3,595.8,4336.0,-38.22,-42.49,Bearish,Strong BUY,,384.1,2.19,2026-05-17T12:03:57.136829
BLCO,BLCO,USA,--,--,16.09,USD,18.92,14.9,5736.7,473.4,-37.22,-39.32,Bearish,Strong BUY,,5101.0,1.04,2026-05-17T12:03:57.478848
THC,Tenet Healthcare Corporation,USA,--,--,196.66,USD,247.21,20.4,16939.7,1245.7,-48.14,-52.45,OVERSOLD,Strong BUY,,21310.0,1.68,2026-05-17T12:03:58.004910
HSIC,"Henry Schein, Inc.",USA,--,--,72.72,USD,89.29,18.6,8284.0,1462.8,-53.11,-52.77,OVERSOLD,Turning Up,,13184.0,0.76,2026-05-17T12:03:58.066308
MGNX,"MacroGenics, Inc.",USA,United States,Healthcare,4.25,USD,4.35,2.3,270.1,1254.1,49.05,47.02,OVERBOUGHT,BUY,-1.11,149.5,4.92,2026-05-17T12:03:58.200388
TTE,TotalEnergies SE,USA,France,Energy,92.28,USD,93.67,1.5,205278.0,2003.4,68.39,69.9,OVERBOUGHT,Turning Up,6.74,182344.0,0.79,2026-05-17T12:03:58.323659
VG,"Venture Global, Inc.",USA,United States,Energy,14.23,USD,19.5,27.0,35352.4,26828.5,-21.54,-13.96,Bearish,Turning Up,0.96,13769.0,0.87,2026-05-17T12:03:58.543566
BSM,"Black Stone Minerals, L.P.",USA,United States,Energy,14.01,USD,15.49,9.6,2977.1,455.6,-29.85,-29.38,Bearish,Strong BUY,1.27,422.3,3.88,2026-05-17T12:03:58.584166
KRP,Kimbell Royalty Partners,USA,United States,Energy,15.44,USD,15.65,1.3,1523.2,838.6,47.87,49.6,OVERBOUGHT,Turning Up,0.46,321.7,8.64,2026-05-17T12:03:58.659901
PAA,"Plains All American Pipeline, L",USA,United States,Energy,22.9,USD,23.04,0.6,16156.7,3395.3,42.32,39.78,OVERBOUGHT,BUY,1.11,44262.0,0.92,2026-05-17T12:03:58.735748
SPIR,"Spire Global, Inc.",USA,United States,Industrials,20.01,USD,23.59,15.2,774.6,1501.8,37.73,38.42,Bullish,Turning Up,1.59,71.6,1.3,2026-05-17T12:03:58.862052
CANG,Cango Inc.,USA,United States,Financial Services,0.54,USD,2.88,81.2,221.5,1278.9,-31.95,-47.89,Bearish,Strong BUY,-1.6,688.1,0.7,2026-05-17T12:03:59.003227
MUR,Murphy Oil Corporation,USA,United States,Energy,40.64,USD,43.34,6.2,5825.7,2388.5,32.27,35.81,Bullish,Turning Up,0.59,2689.8,0.71,2026-05-17T12:03:59.244221
ASND,Ascendis Pharma A/S,USA,Denmark,Healthcare,240.5,USD,250.74,4.1,14858.0,680.6,16.41,12.96,Bullish,BUY,8.86,720.1,0.76,2026-05-17T12:03:59.442143
PDYN,Palladyne AI Corp.,USA,United States,Technology,6.45,USD,13.0,50.4,304.7,2402.1,-49.21,-50.28,OVERSOLD,Strong BUY,-0.59,5.2,9.22,2026-05-17T12:03:59.655704
IBRX,"ImmunityBio, Inc.",USA,United States,Healthcare,7.97,USD,12.43,35.9,8347.4,24682.0,-38.38,-39.98,Bearish,Strong BUY,-0.85,113.3,5.08,2026-05-17T12:03:59.765664
ARX,Accelerant Holdings,USA,Cayman Islands,Financial Services,15.44,USD,31.18,50.5,3369.0,1249.4,34.33,30.66,Bullish,BUY,-6.49,879.5,,2026-05-17T12:03:59.805874
TALO,"Talos Energy, Inc.",USA,United States,Energy,16.39,USD,17.0,3.6,2735.9,2400.3,38.74,36.2,Bullish,BUY,-4.29,1780.1,1.3,2026-05-17T12:04:00.175019
